sentiment,tweet
positive,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
positive,@united thank you. I flew into Newark from Vail/Eagle.
positive,@VirginAmerica thanks for the free birthday points! y'all are ALL RIGHT with me!
positive,@united thanks
negative,@united our travel booked thru United group dept. Okc ticket agent less than willing to help with our connection in LAX.
positive,@VirginAmerica thanks! Y'all have some of the best customer service left in the industry.
positive,@VirginAmerica ​ is flying from Love to Austin now. That is most excellent news.
positive,"@united Yes, they did. Must have fixed the broken ramp. Thanks!"
negative,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.
positive,@united Thank you for the cheese platter and abundance of entertainment options. Time just flew by.
positive,@united Worked like a charm. Bag was waiting on the carousel when we got to baggage claim. #welldone #goodflight #friendlysky
negative,@united I tried but no one was available in bogota and everyone was rude in Houston. I was stuck for 35 hours because of you guys
positive,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
negative,@VirginAmerica how come you don't have an iPhone app? Still using and making me waste paper.
negative,@VirginAmerica Use another browser! 2015 &amp
negative,@united - Why can't I get a boarding pass for my Austrian Airlines codeshare flight. Rebook incls a 6 hour layover &amp
positive,@united Thanks for looking into this and for getting back to me via DM. Glad to hear my bag is finally being delivered to me. Thanks again!
positive,"@united not just refunded, but for those of us who are on vacation to get a free room night to make up for making us sleep in DIA"
negative,@united silly I'm flying delta today. Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk
positive,@united Hmmm...seems like this could be something to be changed to be more #flyerfriendly.
negative,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues"
negative,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(
negative,"@united as a 1k, I'm always hoping for improvement."
negative,@VirginAmerica It's fine. Already done with my purchase. But you should try it. Just go most of the way through then go back 3
positive,@VirginAmerica sounds like fun !
positive,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
positive,@united Just sent a DM. Thank you for the acknowledgment.
negative,"@united nope, they told us it was time for them to go home and to sleep at the airport. Even though they assured us we would get a room..."
negative,@united on 768 to Logan - boarding gong show due to lax carry on enforcement. Bins full of coats = no room for bags. U need a better system!
negative,@united disappointed that u didnt honor my $100 credit given to me for ur mistakes. Taking my business elsewhere  ✌️out.
negative,@united to speak to a real person to get this resolved politely and efficiently. (2/2)
negative,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
negative,"@united I did start a claim but 8-10 weeks is unrealistic, am I really supposed to go that long with out a car seat for my child.Ridiculous!"
positive,@united thank you for following up!
positive,@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!
positive,@united @JMS2802 : outsource it all United Airlines...your customers  are just loving you for it. Outsource. Outsource. Outsource.
negative,"@united well, considering every agent before claimed they were unable to help with everything else, why waste more time to hear 'call corp'"
positive,@united that's exactly the point. It fits. I'm premier access. Boarding group 2. This was a return ticket. I've been doing this for 15 yrs
positive,@VirginAmerica thanks so much!
negative,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
positive,@VirginAmerica Keep up the great work :)
negative,@united Could this email be resent as it doesnt appear to have arrived.
negative,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
negative,@VirginAmerica Very poor experience. First computer problem now seat malfunction. Stuck. Missing meeting in San Diego.
negative,"@VirginAmerica
wjere is our luggage #so slow at lax"
positive,"@united Thank you but the person in Houston could only get me a flight routing through Newark, NJ and I'm going to SFO"
positive,@VirginAmerica thanks so much for sharing. Just added it to my site http://t.co/TsviBTvT8h
positive,@united I should be fine. They automatically changed my connecting flight for me so I wouldn't miss it. A+ work.
negative,"@united No, I need you guys to not over book planes. It's not a concern, I'll just travel with someone else moving forward."
negative,@united plus what about food? And taxis?
positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
positive,@virginamerica awesome deals DAL-AUS for only $39 each way! https://t.co/xCVQXYkg49
negative,"@united once he found out we had a problem he avoided me like the plague. Was told ""we can't find a supervisor."""
positive,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp
negative,"@united good to know you will open the closed doors for ""premier passengers"" after safety briefings on delayed flights. #annoyed."
positive,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
negative,"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome"
positive,@united has the best customer experience via twitter - huge fan!!!
negative,@united common!! keep your paper work ready and don't delay our flights(#1585)and meetings @ChooseChicago
positive,@united your agents (and service) on my weekend trip have been AMAZING!!! Thank you!!
negative,@united YOU GUYS ARE HORRIBLE.
positive,“@united: @MelanieSpring We'll see what we can do. ^KN” We are running! Most of this plane is running. Thanks for the help!
positive,@united I trust you enough to put my coat in my checked bag!
negative,@united The bright side would be keeping the promise that was made to me. Hope you're having a good night. Thanks.
negative,@united Had to explain to a very over eager flight attendant trying to ask about my vision that my @ccicanine was not a guide dog!
negative,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.
positive,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo
negative,@VirginAmerica and it's a really big bad thing about it
positive,@united thanks we'll be in touch!
negative,@united hence why I've been asking for the customer service phone number so I can speak to a real person to get this sorted out
negative,@VirginAmerica my flight (6000) scheduled for 1pm departure still says on time but no plane at gate. Any update on how long of a delay?
positive,@VirginAmerica has the most INCREDIBLE customer service I've ever experienced! So refreshing!
positive,"@VirginAmerica so loyal that I'm driving to #NYC from #PA, to fly Virgin,  since you cut #Philly flights ;)"
negative,@VirginAmerica delayed to10.30!!
negative,"@VirginAmerica mood lighting on point🙌 Reclining my seat, kickin up my feet💤"
positive,@united thank you!
positive,"@united I will, as soon as I am done with my article.  Thanks!  ~Tom"
negative,@united not yet. I complained about the guy who checked my luggage in as he was throwing the bags around. Unfortunate coincidence I hope?
positive,@VirginAmerica I &lt
positive,@united this is why I fly @SouthwestAir ... Never have any issues
negative,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
positive,@united I have 8 flights with you in the next two weeks :) let's make some good memories!
positive,"@virginamerica Well, I didn't…but NOW I DO! :-D"
positive,@united Understood and thanks! I should have tried reaching out sooner.
positive,"@united as a million miler with UA, and flying almost every week I observe gate and flight crews committed to good operations"
negative,@VirginAmerica I cannot even open my laptop in seat 4C and I paid a premium for this?!!   Let me out of here!
positive,@united thank you! Much appreciation for your help.
negative,@united Your website deserves a new design. #html5 FTW!
positive,@united will do. Thanks for the help. Cheers
negative,@VirginAmerica everything was fine until you lost my bag
positive,@United Claudia in IAH terminal b travel assistance has me all set. Great service. Thank you.
negative,@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp
negative,@VirginAmerica Flight from BOS &gt
positive,@united ok. I just submitted. Thanks for the opportunity to give feedback.
negative,@united @UCtraveladvisor - I would have loved to respond to your website until I saw the really long form. In business the new seats are bad
negative,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt
negative,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed
negative,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?"
positive,@united Made the upgrade list. Will fly 1st tomorrow (for 40 min) for the first time ever! 🙌 #StatusMatchPaidOff http://t.co/ATfRKp6goY
positive,@united 1632 was phenomenal frm gate (SEA) to gate (IAD)
negative,@united so you're telling me there is no number to call after being left in an airport because of a negligent pilot and staff?
negative,@united another fail for the United ticket agents in OKC. LESS than helpful and could care less about our problems. American here we come.
negative,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
positive,@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.
negative,@united beginning of Feb I called United they said they would send another voucher by mail. Never got anything. #tiredofwaiting
positive,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy 
negative,@united airlines is the absolute worst. They have no idea what they are doing. #neveragain #UnitedAirlines
positive,@united I wanna be grand staff
negative,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
positive,@united man I can't wait to book my ticket now! Thanks JP you're a life sabe
negative,"@VirginAmerica All of group E was told there was no more room in the bins. when I got on the plane, was room for at least 4 bags in my row!"
positive,"@united Thanks so much , my passport was recovered"
negative,@VirginAmerica my group got their Cancelled Flightlation fees waived but I can't because my ticket is booked for 2/18? Your reps were no help either 😡
positive,@united he is so excellent and so reliable :) #happycustomer
positive,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH
positive,@united My favorite way to travel! Thank you! http://t.co/vGN2X1ckg0
positive,@VirginAmerica Dad on Segway is the best part of this whole infographic!
positive,@united look at this beauty 😉 dc 10 united airlines 😉 http://t.co/MvYoizRPdE
positive,@VirginAmerica got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. 😉
negative,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
positive,"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free."
positive,@united thank you
negative,"@united according to your DMs, I'm not owed a refund. please may I be provided with a contact number before I go to my bank to file claim"
positive,@united for the record- Rozana at Newark was lovely and helpful. #choosekind
positive,@united kudos for not Cancelled Flightling flights from DFW this morning.   United usually first to panic...
positive,@united he has no priority and Iove it
negative,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
negative,@united 1k and had problem getting out of FLL to IAH  sent DM to you about making my connection  please let me know
positive,"@united oh, the Wi-Fi router is on top of the fuselage! ;)"
positive,@united thanx so much. You followed through and emailed me a $1000 ticket voucher. #unitedairlines they do care
positive,".@VirginAmerica not only was it great, but you return my calls the day after. Couldn't ask for more. #myVXexperience"
negative,@united what is that going to do for you? Nothing just like you always do
positive,@united I left my comment with customer care. Thanks for contacting me.
positive,@United I'd like to thank and recognize Terri P at Dulles for going out of her way to get me back on my Raleigh flight
negative,@VirginAmerica Comenity Bank is a joke!  Please change.  Nothing but constant problems with this bank
negative,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!
positive,@united Kurt and the crew on UA1745 were amazing today. They made my son's birthday with their kindness. Hope to fly with them again soon!
positive,@VirginAmerica Giants and Virgin America. A match made in heaven.
negative,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.
positive,@united Very impressed so far. An app that's worth a damn and sms updates on my flight.
positive,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
negative,"@united This ALWAYS happens with you guys, and it makes traveling incredibly stressful and uncomfortable. Is that good business to you?"
positive,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J
positive,@united another awesome new plane flight 1584 and extremely nice Captain Steve Connolly.
positive,@united Thanks!
positive,"@united Wow. What a deal. Again, 30+ plus seats available. Easy change to make a customer happy."
negative,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.
negative,@united Not sure what you are talking about. She is going on nonstop flights. SNA to SFO and then SFO to EWR.
negative,"@united Gate agent hooked me up with alternate flights. If you have a way to PREVENT the constant issues, that would rock."
negative,"@VirginAmerica While other airlines weren't Cancelled Flighting flights into BOS, and helping their customers get home, Virgin was saying Good luck!"
negative,"@united yes please! I am newly married and trying to update my last name on a preexisting international flight! It seems so easy, but..."
negative,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
positive,I ❤️ flying @VirginAmerica. ☺️👍
negative,"@united I asked a legitimate question about systemwide vs. localized problems, and got back an unreLate Flightd copy/paste. You can do better."
positive,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
positive,@united I see. Thanks for explaining.
positive,@VirginAmerica Only way to fly! #Elevate #Gold
positive,"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!"
negative,@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ
negative,@united still no refund or word via DM. Please resolve this issue as your Cancelled Flightled flight was useless to my assistant's trip.
positive,@VirginAmerica Like http://t.co/VPqEm31XUQ
positive,.@united Thanks. Hopefully this is easily resolved.
negative,"@united iah to charlotte. Baggage claim rep latrice h. #customerservice non existent, Ignored customer then inappropriately touched customer"
positive,@united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated
negative,"@united ..back for the expensive holiday, he worked all year to pay for, that you RUINED! We want compensation &amp; his original case back!"
positive,@VirginAmerica happy to spend the day together. Let's do this!
positive,@VirginAmerica OMG FINALLY
negative,@united completed form but doubt it's any use. UA doesn't care. 6 day vacation will now be 5. Sure UA won't feel responsibility for that...
positive,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj
negative,@united ok it's now been 7 months waiting to hear from airline. I gave them quite a bit more than the 30 days requested! Terrible service
positive,@united this flight has been amazing. This is the best flight I have ever been on I am not kidding. Service is INCREDIBLE!
negative,"@united tried calling too, but w/25 min phn wait means we'd miss options anyway"
negative,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?
negative,@united you are offering us 8 rooms for 32 people #FAIL
positive,@united @reebok @rockinwellness @ Denver International Airport https://t.co/tKVmHBkeC3
positive,“@united: Looking for a reason to travel? #quote http://t.co/GGuIg3t28z”
negative,@VirginAmerica there is something wrong with you website in Safari iPhone
negative,"@VirginAmerica my luggage is gone. I've filed my paperwork, promised a call/email. Still no resolution or response from central luggage."
negative,"@united customer service is atrocious! You have disrupted my travel plans, you have lost my luggage and it is impossible to TALK TO A HUMAN"
negative,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site"
